topicid,recall_title,precision_title,F1_title,recall_abstract,precision_abstract,F1_abstract,recall_title_abstract,precision_title_abstract,F1_title_abstract
CD010438,0.07692307692307693,0.014150943396226415,0.023904382470119525,0.46153846153846156,0.08490566037735849,0.14342629482071712,0.48717948717948717,0.08962264150943396,0.15139442231075698
CD007427,0.4796747967479675,0.048841059602649006,0.08865514650638617,0.4715447154471545,0.048013245033112585,0.08715251690458303,0.4796747967479675,0.048841059602649006,0.08865514650638617
CD009593,0.6923076923076923,0.0054,0.01071641198650526,0.6538461538461539,0.0051,0.010121055765032746,0.7051282051282052,0.0055,0.01091486406032943
CD011549,0.5,0.00010640561821664184,0.00021276595744680854,0.5,0.00010640561821664184,0.00021276595744680854,0.5,0.00010640561821664184,0.00021276595744680854
CD011134,0.9302325581395349,0.10718113612004287,0.19221528111484865,0.8511627906976744,0.09807073954983923,0.1758769822200865,0.9302325581395349,0.10718113612004287,0.19221528111484865
CD011975,0.9483037156704361,0.08156176184521328,0.15020470829068577,0.8901453957996769,0.07655967764346255,0.140992835209826,0.9709208400646203,0.08350701681256079,0.15378710337768678
CD009323,0.7786885245901639,0.030804150453955903,0.059263880224578916,0.6967213114754098,0.02756160830090791,0.05302557704304429,0.7950819672131147,0.0314526588845655,0.06051154086088584
CD009020,0.9382716049382716,0.11225997045790251,0.20052770448548812,0.7901234567901234,0.09453471196454949,0.16886543535620055,0.9506172839506173,0.1137370753323486,0.20316622691292877
CD011548,0.911504424778761,0.010958612618363655,0.021656854499579478,0.8849557522123894,0.010639429726566656,0.021026072329688814,0.9380530973451328,0.011277795510160655,0.022287636669470142
CD011984,0.9493392070484582,0.05992769744160178,0.11273868689510855,0.8854625550660793,0.05589543937708565,0.10515302118754905,0.9691629955947136,0.06117908787541713,0.11509285901124772
CD010771,0.8333333333333334,0.16806722689075632,0.2797202797202798,0.8541666666666666,0.1722689075630252,0.2867132867132868,0.875,0.17647058823529413,0.2937062937062937
CD008691,0.9178082191780822,0.05649241146711636,0.10643367752184273,0.8904109589041096,0.05480607082630692,0.10325655281969817,0.9178082191780822,0.05649241146711636,0.10643367752184273
CD010632,0.75,0.0192,0.0374414976599064,0.84375,0.0216,0.042121684867394704,0.84375,0.0216,0.042121684867394704
CD009944,0.8290598290598291,0.09390125847047434,0.16869565217391302,0.8205128205128205,0.09293320425943853,0.16695652173913045,0.8376068376068376,0.09486931268151017,0.17043478260869566
